patch1-Chart-1-3sfix,Chart,1,Incorrect
patch14-Math-85-3sfix,Math,85,Incorrect
patch1-Math-30-3sfix,Math,30,Incorrect
patch15-Math-85-3sfix,Math,85,Incorrect
patch1-Math-58-3sfix,Math,58,Incorrect
patch9-Math-85-3sfix,Math,85,Incorrect
patch1-Math-63-3sfix,Math,63,Incorrect
patch10-Math-85-3sfix,Math,85,Incorrect
patch7-Math-85-3sfix,Math,85,Incorrect
patch16-Math-85-3sfix,Math,85,Incorrect
patch12-Math-85-3sfix,Math,85,Incorrect
patch11-Math-85-3sfix,Math,85,Incorrect
patch1-Chart-1-Arja-plausible,Chart,1,Incorrect
patch1-Chart-5-DeepRepair,Chart,5,Correct
patch2-Chart-1-Arja-plausible,Chart,1,Incorrect
patch3-Chart-1-Arja-plausible,Chart,1,Incorrect
patch4-Chart-1-Arja-plausible,Chart,1,Incorrect
patch1-Chart-13-Arja-plausible,Chart,13,
patch2-Chart-13-Arja-plausible,Chart,13,
patch1-Chart-7-Arja-plausible,Chart,1,
patch1-Chart-7-Arja-plausible,Chart,7,Correct
patch1-Chart-15-Arja-plausible,Chart,15,Correct
patch2-Chart-15-Arja-plausible,Chart,15,Correct
patch3-Chart-15-Arja-plausible,Chart,15,Correct
patch1-Chart-25-Arja-plausible,Chart,19,
patch1-Chart-19-Arja-plausible,Chart,19,Correct
patch1-Chart-25-Arja-plausible,Chart,25,Correct
patch2-Chart-25-Arja-plausible,Chart,25,Correct
patch3-Chart-25-Arja-plausible,Chart,25,Incorrect
patch4-Chart-25-Arja-plausible,Chart,25,Correct
patch5-Chart-25-Arja-plausible,Chart,25,Correct
patch1-Math-28-ACS-plausible,Math,28,Correct
patch1-Math-73-ACS-plausible,Math,73,Correct
patch1-Math-81-ACS-plausible,Math,81,Correct
patch1-Math-97-ACS-plausible,Math,97,Correct
patch1-Lang-16-Arja-plausible,Lang,16,Correct
patch1-Lang-20-Arja-plausible,Lang,20,Correct
patch1-Lang-22-Arja-plausible,Lang,22,Correct
patch3-Lang-63-Arja-plausible,Lang,63,
patch9-Lang-59-Arja-plausible,Lang,59,
patch6-Lang-50-Arja-plausible,Lang,50,
patch2-Lang-51-Arja-plausible,Lang,51,
patch4-Lang-55-Arja-plausible,Lang,55,
patch4-Lang-61-Arja-plausible,Lang,61,
patch4-Lang-43-Arja-plausible,Lang,43,
patch1-Lang-60-Arja-plausible,Lang,60,
patch9-Math-20-Arja-plausible,Math,20,
patch6-Math-8-Arja-plausible,Math,8,
patch1-Lang-39-Arja-plausible,Lang,39,Correct
patch1-Lang-41-Arja-plausible,Lang,41,Correct
patch1-Lang-50-Arja-plausible,Lang,50,Correct
patch1-Lang-51-Arja-plausible,Lang,51,Correct
patch1-Lang-55-Arja-plausible,Lang,55,Incorrect
patch1-Lang-59-Arja-plausible,Lang,59,Correct
patch1-Lang-59-Arja-plausible,Lang,59,Correct
patch1-Math-73-Arja,Math,73,Correct
patch1-Math-73-JGenProg2015,Math,73,Incorrect
patch1-Lang-60-Arja-plausible,Lang,60,Incorrect
patch1-Lang-63-Arja-plausible,Lang,63,Correct
patch2-Lang-16-Arja-plausible,Lang,16,Correct
patch2-Lang-20-Arja-plausible,Lang,20,
patch2-Lang-22-Arja-plausible,Lang,22,Incorrect
patch7-Lang-59-Arja-plausible,Lang,59,Correct
patch3-Lang-22-Arja-plausible,Lang,22,Incorrect
patch3-Lang-50-Arja-plausible,Lang,50,Correct
patch3-Lang-51-Jaid-plausible,Lang,51,Correct
patch3-Lang-55-Arja-plausible,Lang,55,Incorrect
patch3-Lang-59-CapGen-plausible,Lang,59,
patch3-Lang-63-Arja-plausible,Lang,63,Correct
patch4-Lang-59-CapGen-plausible,Lang,59,
patch5-Lang-63-Arja-plausible,Lang,63,Correct
patch6-Lang-50-Arja-plausible,Lang,50,Correct
patch-Lang-2-ssFix-plausible,Lang,2,Correct
patch-Lang-27-ssFix-plausible,Lang,27,Correct
patch1-Math-104-Elixir-plausible,Math,104,Correct
patch1-Math-2-Elixir-plausible,Math,2,Correct
patch1-Math-2-JGenProg2015-plausible,Math,2,Correct
patch1-Math-20-Arja-plausible,Math,20,Correct
patch1-Math-28-DeepRepair,Math,28,Correct
patch1-Math-32-Elixir-plausible,Math,32,Correct
patch1-Math-33-SketchFix-plausible,Math,33,Incorrect
patch2-Math-33-SketchFix-plausible,Math,33,Incorrect
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-71-SimFix,Math,71,
patch1-Math-63-SimFix,Math,63,
patch1-Math-93-ACS,Math,93,Correct
patch1-Math-90-ACS,Math,90,Correct
patch1-Lang-7-ACS,Lang,7,Correct
patch1-Lang-24-ACS,Lang,24,Correct
patch1-Lang-43-CapGen,Lang,43,
patch1-Math-50-SimFix,Math,50,Correct
patch3-Math-5-Jaid,Math,5,Correct
patch1-Math-2-SOFix,Math,2,Correct
patch5-Lang-51-Jaid,Lang,51,Correct
patch1-Lang-44-Nopol2015,Lang,44,Correct
patch2-Lang-33-Jaid,Lang,33,Correct
patch1-Lang-16-SimFix,Lang,16,Correct
patch1-Math-89-ACS,Math,89,Correct
patch1-Math-53-Jaid,Math,53,
patch4-Lang-51-Jaid,Lang,51,
patch1-Chart-5-Arja,Chart,5,Incorrect
patch1-Chart-24-Jaid,Chart,24,Correct
patch1-Chart-24-ssFix,Chart,24,Correct
patch1-Chart-5-Nopol2015,Chart,5,Correct
patch1-Lang-10-DeepRepair,Lang,10,
patch1-Lang-24-DeepRepair,Lang,24,Correct
patch1-Lang-22-DeepRepair,Lang,22,Incorrect
patch1-Lang-27-SimFix,Lang,27,Correct
patch1-Lang-33-Elixir,Lang,33,Correct
patharth1-Lang-33-ssFix,Lang,33,Correct
patch1-Lang-35-ACS,Lang,35,
patch1-Lang-35-Arja,Lang,35,
patch1-Lang-38-Jaid,Lang,38,
patch1-Lang-39-SimFix,Lang,39,
patch1-Math-2-SOFix,Math,2,Correct
patch1-Math-32-Jaid,Math,32,
patch1-Math-50-Nopol2015,Math,50,Correct
patch1-Math-50-ssFix,Math,50,Correct
patch1-Math-5-Jaid,Math,5,Correct
patch1-Math-63-SimFix,Math,63,
patch1-Math-65-CapGen,Math,65,
patch1-Math-73-Arja,Math,73,Correct
patch1-Math-63-SimFix,Math,63,
patch1-Math-85-Jaid,Math,85,
patch1-Lang-43-CapGen,Lang,43,
patch1-Chart-5-Nopol2015,Chart,5,Correct
patch2-Lang-51-Jaid,Lang,51,Correct
patch2-Lang-51-Jaid,Lang,51,Correct
patch1-Lang-51-Jaid,Lang,51,Correct
patch1-Lang-20-Arja,Lang,20,
patch1-Lang-22-DeepRepair,Lang,22,Incorrect
patch1-Chart-5-Nopol2015,Chart,5,Correct
patch1-Chart-5-Arja,Chart,5,Incorrect
patch1-Math-93-ACS,Math,93,Correct
patch-Math-30-ssFix-plausible,Math,30,Correct
patch-Math-79-ssFix-plausible,Math,79,Incorrect
patch1-Math-28-ssFix-plausible,Math,28,
patch1-Math-8-ssFix-plausible,Math,8,Correct
patch1-Math-70-SketchFix-plausible,Math,70,Correct
patch1-Math-82-SketchFix-plausible,Math,82,
patch2-Math-70-SketchFix-plausible,Math,70,
patch1-Chart-1-SketchFix-plausible,Chart,1,
patch3-Math-82-Jaid-plausible,Math,82,
patch4-Math-82-Jaid-plausible,Math,82,
patch3-Math-82-Jaid-plausible,Math,82,
patch3-Math-82-Jaid-plausible,Math,82,Incorrect
patch4-Math-82-Jaid-plausible,Math,82,Incorrect
patch2-Math-80-Jaid-plausible,Math,80,Correct
patch3-Math-80-Jaid-plausible,Math,80,Correct
patch2-Math-82-Jaid-plausible,Math,82,Correct
patch1-Math-32-Jaid-plausible,Math,32,Correct
patch2-Math-85-Jaid-plausible,Math,85,Correct
patch3-Math-53-Jaid-plausible,Math,53,Incorrect
patch1-Math-53-Jaid-plausible,Math,53,
patch1-Math-85-Jaid-plausible,Math,85,
patch4-Math-85-Jaid-plausible,Math,85,
